Title,Date,Comment,value
"‘전 종목 메달’ 韓 e스포츠, 아이치·나고야 아시안게임서도 활약하려면… “선수 육성하고 종목 개발해야”",2023.10.04.,방해만 하지마...,0
"‘전 종목 메달’ 韓 e스포츠, 아이치·나고야 아시안게임서도 활약하려면… “선수 육성하고 종목 개발해야”",2023.10.04.,육성안해도 1등인것같은데ㅎㅎ,1
"‘전 종목 메달’ 韓 e스포츠, 아이치·나고야 아시안게임서도 활약하려면… “선수 육성하고 종목 개발해야”",2023.10.04.,일본에서 열리면 일루전을 종목에 넣어라,1
"‘전 종목 메달’ 韓 e스포츠, 아이치·나고야 아시안게임서도 활약하려면… “선수 육성하고 종목 개발해야”",2023.10.04.,이제 아시안 게임 군면제 없애라... 게임 좀 한다고 군면제?,0
"[이스포츠in항저우①] 게임으로 국위선양, PC방 대회→AG 정식종목으로",2023.09.21.,아따 게임은 아무튼 도박이고 중독이고 살인사건의 원인이지만 이기면 국위선양이랑께,0
"[이스포츠in항저우①] 게임으로 국위선양, PC방 대회→AG 정식종목으로",2023.09.20.,RTS 장르 하나도 없고 종목 규모 순으로 보더라도 롤 다음것들 빠져있고 종목 선정 참 ㅋㅋ,0
"[이스포츠in항저우①] 게임으로 국위선양, PC방 대회→AG 정식종목으로",2023.09.24.,대한민국 선수들 AG정식종목 채택된 만큼 열심히 해서 대한민국을 빛내주시길 바랍니다. 열심히 해서 결과를 받는다면 국민들은 당신들을 항상 기억할 것 입니다!,1
